Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Best Distance,Execution Time (s)
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,415,0.01,9185.28,9.55
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,222,0.1,16497.41,2.48
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,420,0.1,9140.5,6.81
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,366,0.1,8227.47,8.37
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,881,0.01,9391.66,9.5
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,865,0.01,10073.89,13.99
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,299,0.01,9199.53,6.78
berlin52.txt,0.1,ordered_crossover,swap_mutation,500,694,0.1,15279.05,7.61
berlin52.txt,0.5,ordered_crossover,swap_mutation,500,761,0.1,8769.39,12.45
berlin52.txt,1.0,ordered_crossover,swap_mutation,500,389,0.1,10032.47,8.92
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,29,0.01,23141.68,0.07
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,63,0.01,14550.5,0.2
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,63,0.01,14287.75,0.3
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,14,0.1,23545.36,0.04
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,74,0.1,16736.93,0.25
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,45,0.1,16453.61,0.22
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,254,0.01,18697.49,0.54
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,93,0.01,16311.84,0.3
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,96,0.01,14000.62,0.45
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,79,0.1,22089.6,0.18
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,383,0.1,13209.18,1.24
berlin52.txt,1.0,ordered_crossover,scramble_mutation,100,203,0.1,13723.42,0.96
berlin52.txt,0.1,ordered_crossover,scramble_mutation,100,228,0.01,21383.02,0.57
berlin52.txt,0.5,ordered_crossover,scramble_mutation,100,292,0.01,16757.88,0.99
