Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Tournament Size,Best Distance,Execution Time (s)
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1368,0.01,10,12113.44,7.41
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1097,0.05,2,14307.36,2.56
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,790,0.05,3,12265.16,1.86
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,881,0.05,5,11084.31,2.09
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,803,0.05,8,12491.67,2.11
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1535,0.05,10,10538.63,4.16
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1194,0.05,2,11236.33,4.24
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,915,0.05,3,10154.65,3.18
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1063,0.05,5,9699.18,3.81
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1448,0.05,8,11258.16,5.57
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1239,0.05,10,10593.02,4.88
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1228,0.05,2,11253.39,5.53
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1434,0.05,3,9458.08,7.16
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1027,0.05,5,10460.6,5.16
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,870,0.05,8,11424.8,4.64
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1271,0.05,10,9193.41,6.83
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,303,0.1,2,18847.22,0.86
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,370,0.1,3,17073.41,0.88
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,266,0.1,5,17613.05,0.7
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,287,0.1,8,17505.41,0.88
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,297,0.1,10,17685.26,0.81
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1072,0.1,2,9902.94,3.8
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1246,0.1,3,10121.6,4.46
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,666,0.1,5,11026.3,2.43
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,879,0.1,8,10237.51,3.35
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1260,0.1,10,9922.84,4.72
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1999,0.1,2,8825.98,9.36
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,740,0.1,3,9821.53,3.45
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,907,0.1,5,9236.44,4.59
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1053,0.1,8,10060.75,5.88
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1011,0.1,10,10280.48,5.56
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,2576,0.01,2,12542.84,6.25
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,4160,0.01,3,10139.7,10.05
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,3815,0.01,5,10645.78,9.89
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,4999,0.01,8,9437.36,13.39
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,4190,0.01,10,9958.69,11.83
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2585,0.01,2,10194.27,9.55
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,3015,0.01,3,10736.22,10.85
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,3274,0.01,5,11174.55,12.1
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2449,0.01,8,10560.15,9.37
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,3042,0.01,10,10959.06,12.42
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1049,0.01,2,11933.98,5.04
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,2466,0.01,3,10519.46,11.66
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,2624,0.01,5,11288.33,12.53
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,3084,0.01,8,10307.28,15.16
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,2067,0.01,10,10472.22,10.42
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1999,0.05,2,11013.24,4.52
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1119,0.05,3,12629.97,2.6
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,4640,0.05,5,10461.11,11.85
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,2000,0.05,8,11036.45,5.7
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,769,0.05,10,13049.22,2.29
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2197,0.05,2,9569.88,7.4
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2622,0.05,3,9647.36,8.78
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2787,0.05,5,10530.65,9.67
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,3550,0.05,8,8286.12,12.73
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1056,0.05,10,10311.82,3.88
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1140,0.05,2,9415.42,5.21
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1627,0.05,3,9529.31,7.53
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,2093,0.05,5,10183.83,9.97
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1268,0.05,8,9098.87,6.22
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1377,0.05,10,9955.29,6.79
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,970,0.1,2,16170.03,2.21
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1005,0.1,3,15819.19,2.31
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,864,0.1,5,15284.85,2.07
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,957,0.1,8,15577.78,2.47
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,1820,0.1,10,15083.38,4.78
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1972,0.1,2,10143.0,6.66
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1281,0.1,3,10072.84,4.35
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1671,0.1,5,9572.85,5.79
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,2622,0.1,8,10042.53,9.47
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,1028,0.1,10,10494.05,3.81
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,2255,0.1,2,11470.61,10.39
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1036,0.1,3,9034.38,4.84
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1674,0.1,5,11345.12,7.93
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1244,0.1,8,8992.95,6.14
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,1044,0.1,10,10305.22,5.17
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,999,0.01,2,12913.69,4.36
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,318,0.01,3,13260.69,1.43
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,501,0.01,5,12884.43,2.34
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,549,0.01,8,11883.45,2.72
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,982,0.01,10,12546.28,4.96
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,999,0.01,2,10983.23,6.64
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,340,0.01,3,11127.97,2.27
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,652,0.01,5,12737.23,4.4
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,733,0.01,8,10338.98,5.09
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,622,0.01,10,12223.42,4.54
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,438,0.01,2,11329.34,3.94
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,589,0.01,3,10371.72,5.32
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,497,0.01,5,10602.55,4.59
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,563,0.01,8,10417.14,5.36
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,292,0.01,10,11438.51,2.84
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,824,0.05,2,12023.67,3.64
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,999,0.05,3,11302.48,4.5
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,999,0.05,5,10565.48,4.84
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,811,0.05,8,11285.79,4.0
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,888,0.05,10,11225.11,4.47
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,548,0.05,2,9816.29,3.81
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,832,0.05,3,9244.78,5.63
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,824,0.05,5,10296.95,5.53
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,442,0.05,8,8647.3,3.07
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,403,0.05,10,10870.83,2.89
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,611,0.05,2,9911.82,5.5
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,454,0.05,3,10061.9,4.16
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,263,0.05,5,9907.43,2.48
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,519,0.05,8,10054.32,4.94
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,659,0.05,10,10371.57,6.38
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,254,0.1,2,19889.55,1.11
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,366,0.1,3,15155.23,1.65
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,216,0.1,5,17658.21,1.02
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,305,0.1,8,15805.77,1.56
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,140,0.1,10,17813.39,0.73
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,443,0.1,2,11023.8,2.89
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,870,0.1,3,10154.89,5.72
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,515,0.1,5,9620.85,3.5
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,585,0.1,8,10424.78,4.1
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,460,0.1,10,9861.69,3.35
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,618,0.1,2,10401.42,5.52
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,404,0.1,3,10094.7,3.69
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,660,0.1,5,9353.24,6.12
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,340,0.1,8,9200.7,3.28
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,537,0.1,10,9568.22,5.19
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1485,0.01,2,11600.77,6.37
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1993,0.01,3,10062.99,8.75
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1739,0.01,5,10905.2,7.97
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1478,0.01,8,10901.63,7.23
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,875,0.01,10,10833.94,4.4
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1409,0.01,2,9455.26,9.02
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,898,0.01,3,10563.58,5.86
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1021,0.01,5,10984.18,6.84
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1999,0.01,8,10336.86,13.79
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,872,0.01,10,9655.89,6.21
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1046,0.01,2,10817.36,9.34
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1555,0.01,3,9317.04,14.05
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1271,0.01,5,9207.02,12.31
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1009,0.01,8,10049.89,9.73
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1368,0.01,10,10997.84,13.11
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,665,0.05,2,13350.05,2.92
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1524,0.05,3,10325.86,6.79
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1525,0.05,5,9966.83,7.09
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1563,0.05,8,9894.43,7.62
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,1536,0.05,10,10977.09,7.8
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1160,0.05,2,10163.04,7.5
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,627,0.05,3,9827.05,4.14
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1073,0.05,5,10131.14,7.19
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,962,0.05,8,9656.6,6.73
berlin52.txt,0.5,ordered_crossover,swap_mutation,200,1218,0.05,10,11364.87,8.77
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1320,0.05,2,9004.94,11.84
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,538,0.05,3,9764.84,4.87
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,1155,0.05,5,8852.26,10.63
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,659,0.05,8,9099.08,6.22
berlin52.txt,1.0,ordered_crossover,swap_mutation,200,754,0.05,10,8795.45,7.33
berlin52.txt,0.1,ordered_crossover,swap_mutation,200,784,0.1,2,16563.29,3.42
